
,s,o,c,h,l
,s,o,c,h,l
ETHUSDT,ETHUSDT,2330.79000000,2332.00000000,2332.00000000,2328.62000000
,s,o,c,h,l
BTCUSDT,BTCUSDT,34446.16000000,34469.76000000,34473.83000000,34412.43000000
,s,o,c,h,l
BNBBTC,BNBBTC,0.00922900,0.00923800,0.00924000,0.00922700
,s,o,c,h,l
ETHUSDT,ETHUSDT,2330.79000000,2332.00000000,2332.01000000,2328.62000000
,s,o,c,h,l
BTCUSDT,BTCUSDT,34446.16000000,34468.02000000,34473.83000000,34412.43000000
,s,o,c,h,l
ETHUSDT,ETHUSDT,2330.79000000,2331.88000000,2332.01000000,2328.62000000
,s,o,c,h,l
BTCUSDT,BTCUSDT,34446.16000000,34465.46000000,34473.83000000,34412.43000000
,s,o,c,h,l
BNBBTC,BNBBTC,0.00922900,0.00923900,0.00924000,0.00922700
,s,o,c,h,l
ETHUSDT,ETHUSDT,2330.79000000,2331.99000000,2332.01000000,2328.62000000
,s,o,c,h,l
BTCUSDT,BTCUSDT,34446.16000000,34467.78000000,34473.83000000,34412.43000000
,s,o,c,h,l
BNBBTC,BNBBTC,0.00922900,0.00924000,0.00924000,0.00922700
,s,o,c,h,l
ETHUSDT,ETHUSDT,2330.79000000,2331.67000000,2332.01000000,2328.62000000
,s,o,c,h,l
BTCUSDT,BTCUSDT,34446.16000000,34465.46000000,34473.83000000,34412.43000000
,s,o,c,h,l
ETHUSDT,ETHUSDT,2330.79000000,2331.34000000,2332.01000000,2328.62000000
,s,o,c,h,l
BNBBTC,BNBBTC,0.00922900,0.00924100,0.00924100,0.00922700
,s,o,c,h,l
BTCUSDT,BTCUSDT,34446.16000000,34462.46000000,34473.83000000,34412.43000000
,s,o,c,h,l
ETHUSDT,ETHUSDT,2330.79000000,2330.55000000,2332.01000000,2328.62000000
,s,o,c,h,l
BTCUSDT,BTCUSDT,34446.16000000,34450.01000000,34473.83000000,34412.43000000
,s,o,c,h,l
BNBBTC,BNBBTC,0.00922900,0.00924100,0.00924300,0.00922700
,s,o,c,h,l
BTCUSDT,BTCUSDT,34446.16000000,34450.02000000,34473.83000000,34412.43000000
,s,o,c,h,l
ETHUSDT,ETHUSDT,2330.79000000,2331.32000000,2332.01000000,2328.62000000
,s,o,c,h,l
BNBBTC,BNBBTC,0.00922900,0.00924100,0.00924300,0.00922700
,s,o,c,h,l
BTCUSDT,BTCUSDT,34450.02000000,34450.02000000,34453.38000000,34450.01000000
,s,o,c,h,l
ETHUSDT,ETHUSDT,2331.10000000,2330.49000000,2331.11000000,2330.00000000
,s,o,c,h,l
BNBBTC,BNBBTC,0.00924300,0.00924200,0.00924300,0.00924200
,s,o,c,h,l
BTCUSDT,BTCUSDT,34450.02000000,34456.88000000,34465.47000000,34450.00000000
,s,o,c,h,l
ETHUSDT,ETHUSDT,2331.10000000,2331.52000000,2332.00000000,2330.00000000
,s,o,c,h,l
BNBBTC,BNBBTC,0.00924300,0.00924300,0.00924300,0.00924200
,s,o,c,h,l
BTCUSDT,BTCUSDT,34450.02000000,34452.72000000,34465.47000000,34450.00000000
,s,o,c,h,l
ETHUSDT,ETHUSDT,2331.10000000,2331.33000000,2332.00000000,2330.00000000
,s,o,c,h,l
BTCUSDT,BTCUSDT,34450.02000000,34450.04000000,34465.47000000,34450.00000000
,s,o,c,h,l
BNBBTC,BNBBTC,0.00924300,0.00924100,0.00924300,0.00924100
